Country,Eco,Mid,Premium
Argentina,1.95,3.31,4.73
Egypt,2.27,3.88,5.34
India,2.4,6.02,7.83
Colombia,4.29,6.83,9.87
Philippines,4.45,7.13,9.81
Indonesia,4.13,7.62,11.82
Afghanistan,3.99,7.99,9.99
Algeria,3.99,7.99,9.99
Ecuador,4.99,7.99,10.99
Brazil,5.22,8.05,11.27
South Africa,5.22,8.38,10.49
Chile,6.06,8.51,10.91
Albania,5.42,8.68,10.85
Malaysia,5.91,9.5,11.62
Thailand,4.72,9.74,11.69
Japan,6.6,9.94,13.2
South Korea,7.11,10.1,12.72
Taiwan,8.55,10.45,12.35
Kazakhstan,8.68,10.85,13.02
Australia,7.15,11.05,14.96
New Zealand,7.91,11.25,15.21
Saudia Arabia,8.53,11.47,16.26
Canada,7.35,12.13,15.44
Mexico,8.2,12.92,17.64
Singapore,9.67,13.02,16.37
Israel,9.17,13.07,16.97
United Kingdom,6.34,13.96,20.32
Spain,8.68,14.11,19.54
Germany,8.68,14.11,19.54
France,11.93,14.65,21.71
United States,6.99,15.49,22.99
Italy,8.68,14.11,19.54
